datetime,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
2021-05-25 15:00:47.928831,65.0,Uruguay,"267,888",,"3,922 ",,"230,641",,"33,325",504,"76,880","1,126","2,124,792","609,783","3,484,504 ",South America,13,888,2.0,,,"9,564"
2021-05-25 15:00:47.928831,66.0,Ireland,"259,050",,"4,941 ",,"241,263",,"12,846",44,"51,945",991,"4,729,538","948,367","4,987,034 ",Europe,19,"1,009",1.0,,,"2,576"
2021-05-25 15:00:47.928831,67.0,Egypt,"254,984",,"14,766 ",,"187,446",,"52,772",90,"2,451",142,"2,715,258","26,095","104,053,447 ",Africa,408,"7,047",38.0,,,507
2021-05-25 15:00:47.928831,68.0,Moldova,"254,741",,"6,080 ",,"246,766",,"1,895",111,"63,281","1,510","1,078,443","267,899","4,025,560 ",Europe,16,662,4.0,,,471
2021-05-25 15:00:47.928831,69.0,Slovenia,"252,098",+326,"4,358 ",+3,"242,366",+487,"5,374",92,"121,248","2,096","1,260,059","606,032","2,079,194 ",Europe,8,477,2.0,157,1.0,"2,585"
2021-05-25 15:00:47.928831,70.0,Guatemala,"247,644",,"8,009 ",,"228,169",,"11,466",5,"13,599",440,"1,383,617","75,978","18,210,768 ",North America,74,"2,274",13.0,,,630
2021-05-25 15:00:47.928831,71.0,Honduras,"233,116",+444,"6,188 ",+42,"83,725",+100,"143,203",496,"23,207",616,"702,450","69,930","10,045,048 ",North America,43,"1,623",14.0,44,4.0,"14,256"
2021-05-25 15:00:47.928831,72.0,Venezuela,"224,819",,"2,528 ",,"208,218",,"14,073",316,"7,926",89,"3,359,014","118,426","28,363,718 ",South America,126,"11,220",8.0,,,496
2021-05-25 15:00:47.928831,73.0,Armenia,"222,139",+157,"4,400 ",+6,"211,634",+259,"6,105",,"74,840","1,482","1,065,211","358,874","2,968,202 ",Asia,13,675,3.0,53,2.0,"2,057"
2021-05-25 15:00:47.928831,74.0,Bahrain,"220,847",,852 ,+4,"196,685",,"23,310",205,"125,913",486,"4,509,481","2,571,024","1,753,963 ",Asia,8,"2,059",0.0,,2.0,"13,290"
2021-05-25 15:00:47.928831,75.0,Qatar,"215,742",,547 ,,"211,296",,"3,899",154,"76,837",195,"1,998,695","711,835","2,807,805 ",Asia,13,"5,133",1.0,,,"1,389"
2021-05-25 15:00:47.928831,76.0,Oman,"212,038",+817,"2,284 ",+10,"195,720",+285,"14,034",243,"40,604",437,"1,550,000","296,819","5,222,037 ",Asia,25,"2,286",3.0,156,2.0,"2,687"
2021-05-25 15:00:47.928831,77.0,Bosnia and Herzegovina,"203,513",+122,"9,168 ",+18,"173,187",+457,"21,158",,"62,379","2,810","965,308","295,879","3,262,511 ",Europe,16,356,3.0,37,6.0,"6,485"
2021-05-25 15:00:47.928831,78.0,Libya,"183,932",+340,"3,114 ",+2,"170,489",+294,"10,329",,"26,447",448,"1,009,826","145,201","6,954,656 ",Africa,38,"2,233",7.0,49,0.3,"1,485"
2021-05-25 15:00:47.928831,79.0,Sri Lanka,"168,980","+1,808","1,243 ",,"141,175","+1,228","26,562",,"7,862",58,"3,277,624","152,493","21,493,581 ",Asia,127,"17,292",7.0,84,,"1,236"
2021-05-25 15:00:47.928831,80.0,Kenya,"168,543",,"3,073 ",,"114,679",,"50,791",121,"3,074",56,"1,783,374","32,528","54,825,060 ",Africa,325,"17,841",31.0,,,926
2021-05-25 15:00:47.928831,81.0,Nigeria,"166,061",,"2,067 ",,"156,492",,"7,502",11,788,10,"2,093,243","9,936","210,680,806 ",Africa,"1,269","101,926",101.0,,,36
2021-05-25 15:00:47.928831,82.0,North Macedonia,"155,071",+14,"5,342 ",+13,"147,043",+103,"2,686",25,"74,435","2,564","779,581","374,205","2,083,297 ",Europe,13,390,3.0,7,6.0,"1,289"
2021-05-25 15:00:47.928831,83.0,Myanmar,"143,262",,"3,216 ",,"132,218",,"7,828",,"2,617",59,"2,611,626","47,713","54,735,922 ",Asia,382,"17,020",21.0,,,143
2021-05-25 15:00:47.928831,84.0,S. Korea,"136,983",+516,"1,938 ",+4,"126,993",+566,"8,052",160,"2,670",38,"9,592,727","186,961","51,308,699 ",Asia,375,"26,475",5.0,10,0.08,157
2021-05-25 15:00:47.928831,85.0,Thailand,"135,439","+3,226",832 ,+26,"89,194","+3,094","45,413","1,169","1,936",12,"8,124,896","116,142","69,956,760 ",Asia,517,"84,083",9.0,46,0.4,649
2021-05-25 15:00:47.928831,86.0,Cuba,"134,208",,890 ,,"126,459",,"6,859",136,"11,855",79,"4,171,500","368,493","11,320,422 ",North America,84,"12,720",3.0,,,606
2021-05-25 15:00:47.928831,87.0,Albania,"132,215",,"2,445 ",,"128,826",,944,18,"45,988",850,"700,966","243,816","2,874,982 ",Europe,22,"1,176",4.0,,,328
2021-05-25 15:00:47.928831,88.0,Latvia,"131,514",+435,"2,342 ",+14,"122,088",,"7,084",81,"70,424","1,254","2,599,046","1,391,749","1,867,468 ",Europe,14,797,1.0,233,7.0,"3,793"
2021-05-25 15:00:47.928831,89.0,Estonia,"128,829",+160,"1,241 ",,"121,580",+466,"6,008",25,"97,058",935,"1,400,133","1,054,846","1,327,334 ",Europe,10,"1,070",1.0,121,,"4,526"
2021-05-25 15:00:47.928831,90.0,Algeria,"127,107",,"3,426 ",,"88,497",,"35,184",20,"2,853",77,"230,861","5,181","44,556,476 ",Africa,351,"13,005",193.0,,,790
2021-05-25 15:00:47.928831,91.0,Norway,"122,917",+265,782 ,,"88,952",,"33,183",17,"22,516",143,"5,635,246","1,032,261","5,459,130 ",Europe,44,"6,981",1.0,49,,"6,078"
2021-05-25 15:00:47.928831,92.0,Kyrgyzstan,"103,000",+298,"1,765 ",+8,"96,433",+314,"4,802",86,"15,559",267,"1,099,787","166,127","6,620,139 ",Asia,64,"3,751",6.0,45,1.0,725
2021-05-25 15:00:47.928831,93.0,Montenegro,"99,358",+67,"1,577 ",+3,"96,750",+84,"1,031",60,"158,179","2,511","406,010","646,372","628,137 ",Europe,6,398,2.0,107,5.0,"1,641"
2021-05-25 15:00:47.928831,94.0,Uzbekistan,"98,849",+192,682 ,+2,"94,385",+242,"3,782",23,"2,916",20,"1,377,915","40,644","33,901,844 ",Asia,343,"49,709",25.0,6,0.06,112
2021-05-25 15:00:47.928831,95.0,Ghana,"93,711",+27,783 ,,"91,707",+105,"1,221",6,"2,961",25,"1,152,871","36,425","31,650,226 ",Africa,338,"40,422",27.0,0.9,,39
2021-05-25 15:00:47.928831,96.0,Zambia,"93,428",+149,"1,271 ",,"91,221",+21,936,52,"4,959",67,"1,520,156","80,683","18,841,066 ",Africa,202,"14,824",12.0,8,,50
2021-05-25 15:00:47.928831,97.0,Finland,"91,744",+125,942 ,+3,"46,000",,"44,802",18,"16,535",170,"4,916,743","886,151","5,548,427 ",Europe,60,"5,890",1.0,23,0.5,"8,075"
2021-05-25 15:00:47.928831,98.0,Cameroon,"77,733",,"1,239 ",,"72,226",,"4,268",385,"2,865",46,"1,518,411","55,961","27,133,170 ",Africa,349,"21,899",18.0,,,157
2021-05-25 15:00:47.928831,99.0,El Salvador,"72,821",+147,"2,224 ",+4,"68,018",+131,"2,579",27,"11,177",341,"978,592","150,195","6,515,480 ",North America,89,"2,930",7.0,23,0.6,396
2021-05-25 15:00:47.928831,100.0,Cyprus,"72,011",,356 ,,"66,557",,"5,098",43,"59,258",293,"6,337,093","5,214,787","1,215,216 ",Asia,17,"3,414",0.0,,,"4,195"
2021-05-25 15:00:47.928831,101.0,Mozambique,"70,606",,831 ,,"69,100",,675,21,"2,204",26,"545,951","17,043","32,032,886 ",Africa,454,"38,547",59.0,,,21
2021-05-25 15:00:47.928831,102.0,Luxembourg,"69,616",,811 ,,"67,162",,"1,643",17,"109,622","1,277","2,823,454","4,445,992","635,056 ",Europe,9,783,0.0,,,"2,587"
2021-05-25 15:00:47.928831,103.0,Afghanistan,"67,743",+840,"2,887 ",+51,"56,518",+223,"8,338","1,124","1,706",73,"452,592","11,398","39,708,202 ",Asia,586,"13,754",88.0,21,1.0,210
2021-05-25 15:00:47.928831,104.0,Singapore,"61,890",+30,32 ,,"61,329",+13,529,2,"10,505",5,"11,064,019","1,877,974","5,891,466 ",Asia,95,"184,108",1.0,5,,90
2021-05-25 15:00:47.928831,105.0,Maldives,"57,341",,139 ,,"33,136",,"24,066",90,"104,441",253,"837,492","1,525,411","549,027 ",Asia,10,"3,950",1.0,,,"43,834"
2021-05-25 15:00:47.928831,106.0,Mongolia,"53,734",+634,255 ,+2,"47,356",+608,"6,123",99,"16,159",77,"2,895,638","870,776","3,325,353 ",Asia,62,"13,041",1.0,191,0.6,"1,841"
2021-05-25 15:00:47.928831,107.0,Namibia,"53,432",+225,779 ,+5,"49,550",+190,"3,103",51,"20,695",302,"424,020","164,228","2,581,899 ",Africa,48,"3,314",6.0,87,2.0,"1,202"
2021-05-25 15:00:47.928831,108.0,Botswana,"52,865",,809 ,,"49,641",,"2,415",1,"22,083",338,"1,130,899","472,409","2,393,897 ",Africa,45,"2,959",2.0,,,"1,009"
2021-05-25 15:00:47.928831,109.0,Jamaica,"48,054",,925 ,,"24,105",,"23,024",16,"16,165",311,"368,180","123,852","2,972,731 ",North America,62,"3,214",8.0,,,"7,745"
2021-05-25 15:00:47.928831,110.0,Ivory Coast,"47,033",,298 ,,"46,442",,293,,"1,745",11,"619,741","22,988","26,958,865 ",Africa,573,"90,466",44.0,,,11
2021-05-25 15:00:47.928831,111.0,Uganda,"44,074",+155,358 ,+1,"43,401",,315,24,937,8,"1,084,760","23,069","47,021,928 ",Africa,"1,067","131,346",43.0,3,0.02,7
